[camera] source=mjpeg profile=- state=CONNECTING fps=0.0 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=30.4 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=29.3 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=28.9 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=28.7 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=28.0 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=28.1 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.9 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.8 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.9 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=28.0 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.9 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.7 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=28.0 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=28.1 size=-x-
19:23:00 | MOTION_THUMBS_UP_MOVE_UP | confidence=0.79
[camera] source=mjpeg profile=- state=CONNECTED fps=27.5 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.7 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.6 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.8 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.7 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.6 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.5 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.3 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.4 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.5 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.3 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.5 size=-x-
19:23:08 | MOTION_THUMBS_UP_MOVE_UP | confidence=0.78
[camera] source=mjpeg profile=- state=CONNECTED fps=27.4 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.1 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.3 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.5 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.4 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.7 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.5 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.4 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.5 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.6 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.5 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=28.1 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.8 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.4 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.8 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.5 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.6 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.8 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.7 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.8 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.9 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=28.1 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=28.0 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.8 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.6 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.3 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.2 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.4 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.1 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.2 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.3 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.4 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.5 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.2 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.6 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.4 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.3 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.0 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=26.6 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=26.5 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=26.2 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=26.4 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=26.7 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=26.9 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.1 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.2 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.4 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=26.9 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=26.8 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=26.7 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=26.3 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=26.1 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=26.3 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=26.5 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=26.9 size=-x-
[camera] source=mjpeg profile=- state=CONNECTED fps=27.2 size=-x-
